#Column	usrid	(I7)	User Table identifier	(cross_match.usrid)	[""]	[meta.id]
#Column	separation	(F9.2)	Distance from master source to user source	(cross_match.separation)	["arcsec"]	[pos.angDistance]
#Column	probability	(F9.2)	Probability that master source and user source are a match	(cross_match.probability)	[""]	[stat.probability]
#Column	name	(A22)	Source name in the format '2CXO Jhhmmss.s{+|-}ddmmss[X]'	(master_source.name)	[""]	[]
#Column	ra	(A12)	Source position, ICRS right ascension	(master_source.ra)	[""]	[pos.eq.ra;meta.main]
#Column	dec	(A11)	Source position, ICRS declination	(master_source.dec)	[""]	[pos.eq.dec;meta.main]
#Column	err_ellipse_r0	(F9.2)	Major radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r0)	["arcsec"]	[]
#Column	err_ellipse_r1	(F9.2)	Minor radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r1)	["arcsec"]	[]
#Column	err_ellipse_ang	(F9.1)	Position angle (ref. local true north) of the major axis of the 95% confidence level error ellipse	(master_source.err_ellipse_ang)	["deg"]	[]
#Column	significance	(F9.2)	Highest flux significance (S/N) across all stacked observations and energy bands	(master_source.significance)	[""]	[]
#Column	likelihood_class	(A20)	Highest detection likelihood classification across all stacked observations and energy bands	(master_source.likelihood_class)	[""]	[]
#Column	conf_flag	(A5)	Source may be confused (source regions overlap in one or more contributing stacked observations)	(master_source.conf_flag)	[""]	[]
#Column	sat_src_flag	(A5)	Source is saturated in all observations; source properties are unreliable	(master_source.sat_src_flag)	[""]	[]
#Column	streak_src_flag	(A5)	Source is located on an ACIS readout streak in all observations; source properties may be affected	(master_source.streak_src_flag)	[""]	[]
#Column	flux_aper_b	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events; ACIS broad (0.5-7.0 keV) energy band	(master_source.flux_aper_b)	["erg/s/cm^2"]	[]
#Column	flux_aper_lolim_b	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% lower confidence limit); ACIS broad (0.5-7.0 keV) energy band	(master_source.flux_aper_lolim_b)	["erg/s/cm^2"]	[]
#Column	flux_aper_hilim_b	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% upper confidence limit); ACIS broad (0.5-7.0 keV) energy band	(master_source.flux_aper_hilim_b)	["erg/s/cm^2"]	[]
#Column	flux_aper_w	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events; HRC wide (~0.1-10.0 keV) energy band	(master_source.flux_aper_w)	["erg/s/cm^2"]	[]
#Column	flux_aper_lolim_w	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% lower confidence limit); HRC wide (~0.1-10.0 keV) energy band	(master_source.flux_aper_lolim_w)	["erg/s/cm^2"]	[]
#Column	flux_aper_hilim_w	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, best estimate derived from the longest block of a multi-band, flux-ordered Bayesian Block analysis of the contributing observations, and calculated by counting X-ray events (68% upper confidence limit); HRC wide (~0.1-10.0 keV) energy band	(master_source.flux_aper_hilim_w)	["erg/s/cm^2"]	[]
#Column	flux_aper_avg_b	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, averaged over all contributing observations, and calculated by counting X-ray events; ACIS broad (0.5-7.0 keV) energy band	(master_source.flux_aper_avg_b)	["erg/s/cm^2"]	[]
#Column	flux_aper_avg_lolim_b	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, averaged over all contributing observations, and calculated by counting X-ray events (68% lower confidence limit); ACIS broad (0.5-7.0 keV) energy band	(master_source.flux_aper_avg_lolim_b)	["erg/s/cm^2"]	[]
#Column	flux_aper_avg_hilim_b	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, averaged over all contributing observations, and calculated by counting X-ray events (68% upper confidence limit); ACIS broad (0.5-7.0 keV) energy band	(master_source.flux_aper_avg_hilim_b)	["erg/s/cm^2"]	[]
#Column	flux_aper_avg_w	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, averaged over all contributing observations, and calculated by counting X-ray events; HRC wide (~0.1-10.0 keV) energy band	(master_source.flux_aper_avg_w)	["erg/s/cm^2"]	[]
#Column	flux_aper_avg_lolim_w	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, averaged over all contributing observations, and calculated by counting X-ray events (68% lower confidence limit); HRC wide (~0.1-10.0 keV) energy band	(master_source.flux_aper_avg_lolim_w)	["erg/s/cm^2"]	[]
#Column	flux_aper_avg_hilim_w	(E9.3)	Aperture-corrected net energy flux inferred from the source region aperture, averaged over all contributing observations, and calculated by counting X-ray events (68% upper confidence limit); HRC wide (~0.1-10.0 keV) energy band	(master_source.flux_aper_avg_hilim_w)	["erg/s/cm^2"]	[]
usrid	separation	probability	name	ra	dec	err_ellipse_r0	err_ellipse_r1	err_ellipse_ang	significance	likelihood_class	conf_flag	sat_src_flag	streak_src_flag	flux_aper_b	flux_aper_lolim_b	flux_aper_hilim_b	flux_aper_w	flux_aper_lolim_w	flux_aper_hilim_w	flux_aper_avg_b	flux_aper_avg_lolim_b	flux_aper_avg_hilim_b	flux_aper_avg_w	flux_aper_avg_lolim_w	flux_aper_avg_hilim_w
     97	     0.18	     0.58	 2CXO J000009.3+135618	 00 00 09.39	+13 56 18.58	     0.79	     0.77	     64.2	     1.95	                TRUE	FALSE	FALSE	FALSE	2.953e-15	1.243e-15	4.663e-15	         	         	         	2.953e-15	1.243e-15	4.663e-15	         	         	         
    174	     0.30	     0.77	 2CXO J000015.4+005246	 00 00 15.48	+00 52 46.54	     2.56	     1.87	     26.8	     6.03	                TRUE	FALSE	FALSE	FALSE	4.659e-14	3.624e-14	5.695e-14	         	         	         	4.659e-14	3.624e-14	5.695e-14	         	         	         
    303	     0.20	     0.86	 2CXO J000026.2+134604	 00 00 26.29	+13 46 04.73	     2.75	     1.67	     92.1	     8.37	                TRUE	FALSE	FALSE	FALSE	1.382e-13	1.187e-13	1.565e-13	         	         	         	1.382e-13	1.187e-13	1.565e-13	         	         	         
    680	     0.39	     0.38	 2CXO J000102.7+023502	 00 01 02.74	+02 35 02.85	     1.08	     0.83	    171.0	     7.08	                TRUE	FALSE	FALSE	FALSE	1.298e-13	1.114e-13	1.481e-13	         	         	         	1.298e-13	1.114e-13	1.481e-13	         	         	         
    698	     1.02	     0.82	 2CXO J000104.4+024350	 00 01 04.45	+02 43 50.39	    10.71	    10.56	     22.9	     3.58	                TRUE	FALSE	FALSE	FALSE	7.312e-14	3.490e-14	1.113e-13	         	         	         	7.312e-14	3.490e-14	1.113e-13	         	         	         
    716	     1.42	     0.55	 2CXO J000106.9+023846	 00 01 06.97	+02 38 46.35	     5.87	     4.98	     23.8	     1.84	            MARGINAL	FALSE	FALSE	FALSE	3.196e-15	6.145e-16	5.654e-15	         	         	         	3.196e-15	6.145e-16	5.654e-15	         	         	         
    981	     0.34	     0.34	 2CXO J000130.5+130847	 00 01 30.57	+13 08 47.64	     0.87	     0.87	      0.0	     3.87	                TRUE	FALSE	FALSE	FALSE	2.969e-15	2.101e-15	3.791e-15	         	         	         	2.969e-15	2.101e-15	3.791e-15	         	         	         
    983	     0.15	     0.77	 2CXO J000130.6+233443	 00 01 30.63	+23 34 43.74	     1.26	     1.00	    100.5	     8.27	                TRUE	FALSE	FALSE	FALSE	2.872e-14	2.489e-14	3.233e-14	         	         	         	2.872e-14	2.489e-14	3.233e-14	         	         	         
   1051	     0.08	     0.92	 2CXO J000137.5+023041	 00 01 37.55	+02 30 41.21	     2.05	     1.18	     86.8	     2.70	                TRUE	FALSE	FALSE	FALSE	3.491e-14	2.209e-14	4.773e-14	         	         	         	3.491e-14	2.209e-14	4.773e-14	         	         	         
   1160	     0.70	     0.55	 2CXO J000150.3+023830	 00 01 50.38	+02 38 30.88	     2.87	     1.98	     48.0	     5.14	                TRUE	FALSE	FALSE	FALSE	7.045e-14	5.571e-14	8.438e-14	         	         	         	7.045e-14	5.571e-14	8.438e-14	         	         	         
   1174	     0.21	     0.49	 2CXO J000151.5+232857	 00 01 51.59	+23 28 57.87	     0.75	     0.73	    121.3	     7.88	                TRUE	FALSE	FALSE	FALSE	2.289e-14	1.997e-14	2.563e-14	         	         	         	2.289e-14	1.997e-14	2.563e-14	         	         	         
   1178	     0.43	     0.39	 2CXO J000151.9+232421	 00 01 51.96	+23 24 21.47	     1.23	     0.99	      4.6	     5.20	                TRUE	FALSE	FALSE	FALSE	8.895e-15	6.966e-15	1.082e-14	         	         	         	8.895e-15	6.966e-15	1.082e-14	         	         	         
   1234	     0.05	     0.90	 2CXO J000157.0+232715	 00 01 57.03	+23 27 15.53	     0.93	     0.83	    158.1	     7.50	                TRUE	FALSE	FALSE	FALSE	2.672e-14	2.310e-14	3.035e-14	         	         	         	2.672e-14	2.310e-14	3.035e-14	         	         	         
   1299	     0.67	     0.24	 2CXO J000201.9+004541	 00 02 01.99	+00 45 41.28	     1.40	     1.14	     72.9	     5.41	                TRUE	FALSE	FALSE	FALSE	9.971e-14	7.977e-14	1.185e-13	         	         	         	9.971e-14	7.977e-14	1.185e-13	         	         	         
   1361	     0.66	     0.20	 2CXO J000208.1+232438	 00 02 08.18	+23 24 38.01	     1.27	     1.12	    166.7	     8.97	                TRUE	FALSE	FALSE	FALSE	3.669e-14	3.226e-14	4.112e-14	         	         	         	3.669e-14	3.226e-14	4.112e-14	         	         	         
   1392	     1.02	     0.18	 2CXO J000210.5+232608	 00 02 10.51	+23 26 08.74	     1.87	     1.49	    179.1	     6.50	                TRUE	FALSE	FALSE	FALSE	1.173e-14	8.872e-15	1.444e-14	         	         	         	1.173e-14	8.872e-15	1.444e-14	         	         	         
   1532	     1.49	     0.79	 2CXO J000223.3+010100	 00 02 23.40	+01 01 00.15	    13.72	     6.57	     96.8	     2.24	            MARGINAL	 TRUE	FALSE	FALSE	2.866e-14	1.328e-14	4.404e-14	         	         	         	2.866e-14	1.328e-14	4.404e-14	         	         	         
   1546	     0.54	     0.39	 2CXO J000224.9+255023	 00 02 24.96	+25 50 23.49	     1.52	     1.00	     58.0	     4.89	                TRUE	FALSE	FALSE	FALSE	3.239e-14	2.561e-14	3.917e-14	         	         	         	3.239e-14	2.561e-14	3.917e-14	         	         	         
   1550	     0.88	     0.59	 2CXO J000225.5+255456	 00 02 25.58	+25 54 56.05	     4.01	     2.19	     90.7	     2.92	                TRUE	FALSE	FALSE	FALSE	2.026e-14	1.299e-14	2.713e-14	         	         	         	2.026e-14	1.299e-14	2.713e-14	         	         	         
   1603	     0.01	     0.98	 2CXO J000230.7+004959	 00 02 30.71	+00 49 59.06	     0.72	     0.72	     64.9	    11.07	                TRUE	FALSE	FALSE	FALSE	1.391e-13	1.260e-13	1.522e-13	         	         	         	1.391e-13	1.260e-13	1.522e-13	         	         	         
